keyword,image,color1,color2,color3
classic,heavy and deep,141,44,81
dandy,serious,141,145,117
formal,solemn,141,146,142
romantic,romantic,134,151,74
clear,clear,85,151,98
clear,crystalline,85,151,108
casual,festive,22,151,46
clear,simple,149,151,112
cool-casual,youthful,49,151,72
cool-casual,sporty,22,151,115
natural,fresh,60,151,108
modern,sharp,82,151,142
elegant,cultured,125,135,150
clear,pure and simple,121,150,111
elegant,noble,113,150,89
elegant,sedate,29,123,150
chic,quiet,150,101,114
elegant,polished,99,150,111
natural,dry,51,150,53
modern,composed,150,113,103
modern,metallic,146,150,117
chic,chic,41,149,113
elegant,refined,125,149,112
chic,quiet,149,101,114
chic,simple quiet and elegant,41,148,149
chic,sober,65,149,111
cool-casual,youthful,104,149,89
modern,distinguished,149,101,102
modern,rational,149,107,116
modern,modern,143,149,82
elegant,elegant,125,148,135
natural,tranquil,75,51,148
elegant,subtle,123,148,113
chic,chic,125,148,101
natural,simple and appealing,52,53,148
formal,earnest,117,148,115
chic,sober,53,148,65
chic,simple quiet and elegant,44,148,54
modern,metallic,92,148,142
natural,simple and appealing,65,51,147
chic,simple quiet and elegant,41,147,149
modern,intellectual,110,147,116
classic,provincial,54,147,53
chic,modest,147,65,33
formal,solemn,117,147,143
modern,masculine,69,147,102
formal,formal,44,147,115
formal,sublime,147,142,125
chic,sober,65,148,146
chic,chic,89,150,146
formal,earnest,104,150,146
formal,majestic,128,146,143
formal,solemn,146,117,101
modern,exact,146,115,142
dandy,sound,146,44,117
dandy,strong and robust,57,146,143
formal,dignified,116,146,142
classic,provincial,149,65,145
chic,chic,137,123,145
modern,urbane,99,125,145
dandy,diligent,145,41,57
dandy,subtle and mysterious,53,145,143
formal,formal,145,150,117
dandy,serious,33,145,142
modern,exact,105,145,111
modern,precise,143,101,145
modern,exact,146,111,144
modern,urbane,144,101,99
dandy,bitter,57,53,144
dandy,subtle and mysterious,41,146,144
formal,authoritative,144,147,116
classic,conservative,53,144,44
dandy,quiet and sophisticated,144,56,81
formal,solemn,144,113,117
dandy,subtle and mysterious,125,148,143
modern,intellectual,143,149,100
formal,formal,143,150,113
classic,old-fashioned,44,42,143
classic,sturdy,57,65,143
formal,sublime,143,115,101
ethnic,robust,33,31,143
classic,heavy and deep,143,44,117
formal,authoritative,117,101,143
dynamic,bold,22,142,46
chic,stylish,142,126,100
modern,modern,142,98,82
dynamic,fiery,142,34,22
dynamic,intense,118,46,142
modern,sharp,142,151,106
dynamic,striking,130,142,82
dandy,strong and robust,45,41,142
modern,metallic,142,114,1480
