keyword,image,color1,color2,color3
dynamic,hot,22,47,44
ethnic,ethnic,31,103,47
gorgeous,extravagant,139,119,47
gorgeous,rich,47,31,44
gorgeous,mature,30,44,47
gorgeous,decorative,130,47,118
gorgeous,substantial,32,47,44
gorgeous,luxurious,31,47,32
gorgeous,gorgeous,139,47,127
casual,cheerful,24,48,25
casual,friendly,37,50,48
cool-casual,youthful,48,151,60
casual,enjoyable,34,48,84
pretty,pretty,48,132,84
natural,open,48,151,84
casual,showy,48,48,119
casual,casual,22,48,107
cool-casual,young,72,48,106
casual,cheerful,37,24,49
natural,healthy,36,151,49
natural,citrus,49,76,74
pretty,cute,132,49,73
pretty,childlike,25,49,97
cool-casual,youthful,49,151,72
casual,merry,24,49,72
natural,open,36,49,85
cool-casual,young,84,49,108
natural,gentle,51,50,39
natural,free,37,50,61
natural,wholesome,52,50,63
casual,friendly,37,50,48
romantic,dreamy,133,50,98
natural,plain,50,63,148
natural,generous,28,25,50
natural,open,36,50,72
natural,peaceful,100,50,75
natural,restful,37,38,51
natural,plain,51,62,63
natural,tranquil,51,74,75
natural,intimate,40,51,38
natural,natural,52,51,64
natural,simple and appealing,51,64,65
natural,pleasant,28,51,40
casual,friendly,40,51,87
natural,dry,51,148,53
natural,intimate,52,40,51
natural,wholesome,40,50,52
natural,simple and appealing,52,50,149
natural,restful,35,51,52
elegant,calm,51,52,53
natural,natural,52,63,64
elegant,pastoral,43,52,55
classic,provincial,52,65,54
elegant,interesting,52,78,128
elegant,calm,39,40,53
natural,dry,51,148,53
chic,sober,148,53,146
natural,nostalgic,42,27,53
chic,japanese,29,51,53
dandy,subtle and mysterious,53,144,146
classic,conservative,44,53,68
dandy,sound,144,53,116
dandy,dapper,104,53,142
elegant,pastoral,40,54,44
natural,nostalgic,28,140,54
classic,provincial,41,148,54
classic,elaborate,32,54,119
dandy,diligent,54,138,92
chic,simple quiet and elegant,42,147,54
classic,old-fashioned,32,54,143
gorgeous,mellow,139,54,128
dandy,quiet and sophisticated,45,54,145
gorgeous,extravagant,31,55,44
gorgeous,decorative,23,55,127
elegant,pastoral,52,55,64
classic,elaborate,55,139,141
ethnic,ethnic,30,55,126
classic,rustic,55,43,57
gorgeous,gorgeous,55,31,128
ethnic,wild,31,55,56
dandy,bitter,44,55,144
classic,tasteful,56,29,128
dandy,placid,56,53,144
dandy,bitter,56,55,81
classic,sturdy,45,42,56
dandy,quiet and sophisticated,33,56,146
classic,traditional,45,56,128
ethnic,untamed,56,142,67
classic,old-fashioned,140,54,56
classic,conservative,146,56,117
classic,tasteful,139,42,57
dandy,quiet and sophisticated,33,53,57
dandy,placid,57,147,93
classic,rustic,55,43,57
dandy,bitter,143,55,57
dandy,dapper,57,53,116
classic,heavy and deep,57,32,117
dandy,serious,142,57,44
dandy,strong and robust,57,146,143
casual,enjoyable,34,46,58
natural,healthy,46,151,58
natural,fresh,58,151,74
casual,festive,22,151,58
natural,open,46,50,58
clear,clean and fresh,58,151,108
casual,flamboyant,34,58,130
casual,amusing,132,118,58
dynamic,striking,130,142,58
natural,lighthearted,40,50,59
natural,wholesome,52,151,59
elegant,calm,50,59,54
natural,natural,42,39,59
elegant,interesting,25,126,59
ethnic,untamed,31,59,45
ethnic,ethnic,138,55,59
natural,sweet-sour,25,60,48
cool-casual,youthful,48,151,60
natural,free,60,50,85
pretty,cute,132,50,60
casual,friendly,37,50,60
natural,fresh,60,151,108
casual,bright,48,22,60
natural,citrus,61,46,60
cool-casual,steady,62,60,84
natural,sweet-sour,50,25,61
natural,tranquil,61,50,75
natural,fresh,61,84,98
natural,free,40,50,61
natural,citrus,61,46,50
clear,fresh and young,61,151,84
natural,healthy,37,38,61
natural,lighthearted,36,61,50
cool-casual,youthful,108,61,96
romantic,innocent,26,151,62
clear,light,50,151,62
natural,plain,51,62,63
natural,sunny,37,38,62
romantic,soft,62,26,110
natural,tranquil,62,75,98
natural,sweet-sour,62,25,86
elegant,emotional,122,110,62
cool-casual,steady,62,60,84
romantic,soft,27,150,63
natural,tranquil,38,63,148
natural,plain,63,150,111
natural,restful,63,37,63
natural,wholesome,40,50,63
natural,natural,52,63,64
natural,domestic,25,50,63
elegant,pastoral,53,64,63
elegant,interesting,124,41,63
elegant,pastoral,47,51,66
chic,simple quiet and elegant,54,148,66
chic,japanese,126,150,66
